4E.BP1	4EBP1	EIF4EBP1
ADA	ADA	ADA
ARTN	ARTN	ARTN
AXIN1	AXIN1	AXIN1
Beta.NGF	Beta-NGF	NGF
CASP.8	CASP-8	CASP8
CCL11	CCL11	CCL11
CCL19	CCL19	CCL19
CCL20	CCL20	CCL20
CCL23	CCL23	CCL23
CCL25	CCL25	CCL25
CCL28	CCL28	CCL28
CCL4	CCL4	CCL4
CD244	CD244	CD244
CD40	CD40	CD40
CD5	CD5	CD5
CD6	CD6	CD6
CDCP1	CDCP1	CDCP1
CSF.1	CSF-1	CSF1
CST5	CST5	CST5
CX3CL1	CX3CL1	CX3CL1
CXCL1	CXCL1	CXCL1
CXCL10	CXCL10	CXCL10
CXCL11	CXCL11	CXCL11
CXCL5	CXCL5	CXCL5
CXCL6	CXCL6	CXCL6
CXCL9	CXCL9	CXCL9
DNER	DNER	DNER
EN.RAGE	EN-RAGE	S100A12
FGF.19	FGF-19	FGF19
FGF.21	FGF-21	FGF21
FGF.23	FGF-23	FGF23
FGF.5	FGF-5	FGF5
Flt3L	FIt3L	FLT3LG
GDNF	hGDNF	GDNF
HGF	HGF	HGF
IFN.gamma	IFN-gamma	IFNG
IL.10	IL-10	IL10
IL.10RA	IL-10RA	IL10RA
IL.10RB	IL10RB	IL10RB
IL.12B	IL-12B	IL12B
IL.13	IL-13	IL13
IL.15RA	IL-15RA	IL15RA
IL.17A	IL-17A	IL17A
IL.17C	IL-17C	IL17C
IL.18	IL-18	IL18
IL.18R1	IL-18R1	IL18R1
IL.1.alpha	IL-1 alpha	IL1A
IL.2	IL-2	IL2
IL.20	IL-20	IL20
IL.20RA	IL-20RA	IL20RA
IL.22.RA1	IL-22RA1	IL22RA1
IL.24	IL-24	IL24
IL.2RB	IL-2RB	IL2RB
IL.33	IL-33	IL33
IL.4	IL-4	IL4
IL.5	IL-5	IL5
IL.6	IL-6	IL6
IL.7	IL-7	IL7
IL.8	IL-8	IL8
LAP.TGF.beta.1	LAP TGF-beta-1	TGFB1
LIF	LIF	LIF
LIF.R	LIF-R	LIFR
MCP.1	MCP-1	CCL2
MCP.2	MCP-2	CCL8
MCP.3	MCP-3	CCL7
MCP.4	MCP-4	CCL13
MIP.1.alpha	MIP-1 alpha	CCL3
MMP.1	MMP-1	MMP1
MMP.10	MMP-10	MMP10
NRTN	NRTN	NRTN
NT.3	NT-3	NTF3
OPG	OPG	TNFRSF11B
OSM	OSM	OSM
PD.L1	PD-L1	CD274
SCF	SCF	KITLG
SIRT2	SIRT2	SIRT2
SLAMF1	SLAMF1	SLAMF1
ST1A1	ST1A1	SULT1A1
STAMPB	STAMPB	STAMBP
TGF.alpha	TGF-alpha	TGFA
TNF	TNF	TNF
TNFB	TNFB	LTA
TNFRSF9	TNFRSF9	TNFRSF9
TNFSF14	TNFSF14	TNFSF14
TRAIL	TRAIL	TNFSF10
TRANCE	TRANCE	TNFSF11
TSLP	TSLP	TSLP
TWEAK	TWEAK	TNFSF12
uPA	uPA	PLAU
VEGF.A	VEGF_A	VEGFA
