"","Variable","N","Nmissing","Min","Q1","Median","Q3","Max"
"1","inf_IL8",2950,1,3.757,5.667,6.05,6.492,14.458
"2","inf_VEGFA",2951,0,4.174,9.493,9.726,10.016,11.78
"3","inf_MCP.3",2373,578,1.91,2.137,2.361,2.697,10.996
"4","inf_GDNF",2811,140,1.811,2.133,2.322,2.564,5.999
"5","inf_CDCP1",2950,1,1.484,3.407,3.764,4.206,7.255
"6","inf_CD244",2950,1,3.684,5.887,6.111,6.329,7.531
"7","inf_IL7",2882,69,1.794,2.546,3.09,3.73,7.48
"8","inf_OPG",2951,0,4.496,9.814,10.06,10.329,11.548
"9","inf_LAP.TGF.beta.1",2951,0,2.495,6.427,6.712,7.101,9.27
"10","inf_uPA",2951,0,4.438,9.674,9.882,10.093,13.268
"11","inf_IL6",2950,1,1.761,3.261,3.683,4.225,10.91
"12","inf_IL.17C",1090,1861,1.801,1.937,2.126,2.485,8.769
"13","inf_MCP.1",2951,0,3.793,8.81,9.049,9.335,12.519
"14","inf_IL.17A",1122,1829,1,1.124,1.283,1.632,5.608
"15","inf_CXCL11",2950,1,2.263,6.009,6.526,7.17,12.255
"16","inf_AXIN1",1253,1698,1.98,2.45,3.179,4.212,7.915
"17","inf_TRAIL",2951,0,3.018,7.631,7.814,8.009,10.161
"18","inf_IL.20RA",169,2782,1.307,1.496,1.747,2.464,6.767
"19","inf_CXCL9",2951,0,3.211,7.686,8.178,8.776,13.188
"20","inf_CST5",2950,1,5.328,6.662,6.987,7.337,9.398
"21","inf_IL.2RB",68,2883,1.296,1.481,1.729,2.52,6.047
"22","inf_IL.1.alpha",75,2876,1.445,1.695,2.272,3.49,5.664
"23","inf_OSM",2824,127,1.158,1.981,2.419,2.976,7.674
"24","inf_CXCL1",2950,1,3.239,6.423,7.379,8.235,11.379
"25","inf_TSLP",16,2935,1.96,2.183,2.336,2.585,4.865
"26","inf_CCL4",2927,24,1.474,5.145,5.475,5.881,10.493
"27","inf_CD6",2950,1,0.763,3.204,3.514,3.806,6.459
"28","inf_SCF",2951,0,3.342,8.646,8.964,9.224,10.322
"29","inf_IL18",2951,0,2.832,6.886,7.238,7.574,11.776
"30","inf_SLAMF1",2948,3,2.111,3.267,3.562,3.915,7.984
"31","inf_TGF.alpha",2950,1,-0.24,1.312,1.513,1.748,4.992
"32","inf_MCP.4",2950,1,0.441,2.084,2.468,2.9,6.551
"33","inf_CCL11",2949,2,3.048,7.881,8.145,8.441,10.054
"34","inf_TNFSF14",2947,4,1.192,2.478,2.766,3.138,6.884
"35","inf_FGF.23",2939,12,1.752,3.334,3.64,4.066,10.3
"36","inf_IL.10RA",441,2510,1.291,1.406,1.591,1.932,7.24
"37","inf_FGF.5",1923,1028,1.565,1.661,1.769,1.915,5.874
"38","inf_MMP.1",2948,3,2.553,7.115,7.782,8.575,11.475
"39","inf_LIF.R",2947,4,2.57,3.314,3.47,3.651,4.698
"40","inf_FGF.21",2947,4,1.824,4.346,5.047,5.843,10.901
"41","inf_CCL19",2951,0,2.972,8.813,9.256,9.887,12.927
"42","inf_IL.15RA",2481,470,1.255,1.413,1.54,1.702,3.089
"43","inf_IL.10RB",2951,0,2.627,7.428,7.642,7.851,9.564
"44","inf_IL.22.RA1",9,2942,2.865,3.525,4.273,5.042,10.345
"45","inf_IL.18R1",2950,1,2.8,7.328,7.605,7.905,9.361
"46","inf_PD.L1",2948,3,3.45,4.591,4.815,5.082,10.307
"47","inf_Beta.NGF",2878,73,1.251,1.524,1.665,1.828,5.178
"48","inf_CXCL5",2951,0,3.082,8.482,9.932,11.295,14.258
"49","inf_TRANCE",2950,1,2.192,4.211,4.609,5.015,7.218
"50","inf_HGF",2951,0,2.528,7.105,7.349,7.616,9.954
"51","inf_IL.12B",2950,1,1.591,4.247,4.644,5.14,7.717
"52","inf_IL.24",151,2800,1.785,1.995,2.403,3.225,9.199
"53","inf_IL13",182,2769,1.614,1.891,2.29,3.083,6.746
"54","inf_ARTN",103,2848,0.643,0.832,1.204,1.786,6.022
"55","inf_MMP.10",2951,0,3.676,8.816,9.162,9.563,11.89
"56","inf_IL10",2943,8,2.33,3.789,4.061,4.37,10.989
"57","inf_TNF",284,2667,1.371,1.644,2.172,3.155,12.123
"58","inf_CCL23",2951,0,3.455,9.286,9.595,9.909,11.475
"59","inf_CD5",2951,0,0.764,3.731,3.959,4.215,6.945
"60","inf_CCL3",2944,7,1.212,2.112,2.402,2.747,9.549
"61","inf_Flt3L",2951,0,3.912,8.907,9.177,9.451,10.897
"62","inf_CXCL6",2951,0,2.405,6.712,7.317,7.979,11.648
"63","inf_CXCL10",2951,0,3.816,9.073,9.535,10.087,13.837
"64","inf_4E.BP1",2950,1,1.656,7.573,8.163,8.861,11.939
"65","inf_IL.20",136,2815,1.224,1.379,1.751,2.362,8.206
"66","inf_SIRT2",2932,19,2.079,3.665,4.426,5.927,10.679
"67","inf_CCL28",2752,199,0.961,1.232,1.408,1.634,5.731
"68","inf_DNER",2951,0,1.957,7.013,7.194,7.38,8.402
"69","inf_EN.RAGE",2932,19,1.173,1.97,2.365,2.926,8.333
"70","inf_CD40",2951,0,4.478,9.023,9.276,9.594,11.435
"71","inf_IL33",40,2911,1.75,1.896,2.13,2.596,7.351
"72","inf_IFN.gamma",20,2931,1.372,1.476,1.693,2.056,4.443
"73","inf_FGF.19",2951,0,1.872,6.95,7.549,8.194,11.193
"74","inf_IL4",506,2445,1.51,1.717,2.038,2.702,7.185
"75","inf_LIF",190,2761,0.819,0.947,1.169,1.696,7.289
"76","inf_NRTN",116,2835,1.483,1.667,2.079,2.61,6.342
"77","inf_MCP.2",2951,0,4.408,8.634,9.028,9.421,12.429
"78","inf_CASP.8",2632,319,1.637,2.016,2.356,2.952,8.521
"79","inf_CCL25",2950,1,1.903,6.318,6.736,7.142,8.717
"80","inf_CX3CL1",2950,1,3.556,5.874,6.137,6.417,8.4
"81","inf_TNFRSF9",2950,1,4.33,6.365,6.655,7.027,10.381
"82","inf_NT.3",2882,69,1.519,2.087,2.306,2.567,5.728
"83","inf_TWEAK",2951,0,2.256,7.854,8.062,8.252,9.551
"84","inf_CCL20",2950,1,3.67,5.77,6.306,7.016,12.411
"85","inf_ST1A1",2384,567,0.731,1.388,2.29,3.592,7.153
"86","inf_STAMPB",2949,2,1.695,3.222,3.681,4.571,8.887
"87","inf_IL5",479,2472,1.966,2.243,2.666,3.859,9.912
"88","inf_ADA",2949,2,2.723,4.436,4.695,4.977,8.378
"89","inf_TNFB",2949,2,1.75,3.13,3.383,3.633,5.936
"90","inf_CSF.1",2951,0,2.61,7.815,7.959,8.116,10.1
